Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Entry Point - Quick Action (1),,,,2024-02-26 11:47:10,2024-02-26 11:57:40,10m - 29.585s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - G1A Account to G1A Account,,,,2024-02-26 11:47:11,2024-02-26 11:51:02,3m - 50.923s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-02-26 11:47:12,2024-02-26 11:47:23,11.100s,PASSED
a = 8,,,,2024-02-26 11:47:23,2024-02-26 11:47:23,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-02-26 11:47:23,2024-02-26 11:48:50,1m - 27.128s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-02-26 11:48:50,2024-02-26 11:48:53,2.637s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-02-26 11:48:53,2024-02-26 11:48:56,3.835s,PASSED
delay(10),,,,2024-02-26 11:48:56,2024-02-26 11:49:06,10.025s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-02-26 11:49:06,2024-02-26 11:49:07,0.228s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-02-26 11:49:07,2024-02-26 11:49:27,20.124s,PASSED
"digits = ""5000""",,,,2024-02-26 11:49:27,2024-02-26 11:49:27,0.001s,PASSED
currency_Numpad(digits),,,,2024-02-26 11:49:27,2024-02-26 11:49:27,0.013s,PASSED
digit_length = digits.length(),,,,2024-02-26 11:49:27,2024-02-26 11:49:27,0.003s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-02-26 11:49:27,2024-02-26 11:49:48,20.999s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-02-26 11:49:48,2024-02-26 11:49:53,5.184s,PASSED
delay(5),,,,2024-02-26 11:49:53,2024-02-26 11:49:58,5.031s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-02-26 11:49:58,2024-02-26 11:50:02,4.259s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-02-26 11:50:02,2024-02-26 11:50:03,0.889s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:03,2024-02-26 11:50:03,0.110s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-02-26 11:50:03,2024-02-26 11:50:03,0.009s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-02-26 11:50:03,2024-02-26 11:50:03,0.027s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-02-26 11:50:03,2024-02-26 11:50:03,0.092s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-02-26 11:50:03,2024-02-26 11:50:03,0.087s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:03,2024-02-26 11:50:04,0.075s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify the coversion MYR,,2024-02-26 11:50:04,2024-02-26 11:50:04,0.082s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:04,2024-02-26 11:50:04,0.078s,PASSED
"verifyElementExist(findTestObject(""General/android.widget.EditText _AmountReceived"", [""text"":roundedNumber]), 5, CONTINUE_ON_FAILURE)",,TC079 -  Validate the correct currency on amount to receive,,2024-02-26 11:50:04,2024-02-26 11:50:04,0.082s,PASSED
takeScreenshot(),,,,2024-02-26 11:50:04,2024-02-26 11:50:04,0.417s,PASSED
